"FullName","SizeMB","Extension","LastWriteTime"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\latest_daily\meta_20260213.jsonl","3.95",".jsonl","2/13/2026 4:48:44 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\latest_daily\meta_20260213.jsonl.bak_20260216_123541","3.95",".bak_20260216_123541","2/13/2026 4:48:44 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\latest_daily\meta_20260213.jsonl","3.95",".jsonl","2/13/2026 4:48:44 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\upload_ready\ORG_BOT_WEEK_20260209_20260213_KNOWLEDGE.zip","3.11",".zip","2/14/2026 3:54:06 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\latest_daily\announce_20260213.log","2.79",".log","2/13/2026 4:48:46 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\latest_daily\announce_20260213.log","2.79",".log","2/13/2026 4:48:46 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\latest_daily\live\LIVE_OUT_20260213_063001_203_pid3944_824_pid3944.txt","2.74",".txt","2/13/2026 12:59:22 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\latest_daily\live\LIVE_OUT_20260213_063001_203_pid3944_824_pid3944.txt","2.74",".txt","2/13/2026 12:59:22 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\backup_20260215_191202\ORG_BOT_KNOWLEDGE_SUPER.zip","1.75",".zip","2/14/2026 3:54:06 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\upload_ready\ORG_BOT_KNOWLEDGE_SUPER.zip","1.75",".zip","2/14/2026 3:54:06 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\dailies\ORG_BOT_DAILY_20260210.zip","1.26",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\dailies\ORG_BOT_DAILY_20260210.zip","1.26",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\dailies\ORG_BOT_DAILY_20260210.zip","1.26",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\dailies\ORG_BOT_DAILY_20260209.zip","1.14",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\dailies\ORG_BOT_DAILY_20260209.zip","1.14",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_091205\dailies\ORG_BOT_DAILY_20260209.zip","1.14",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\_mygpt_super_20260216_090845\dailies\ORG_BOT_DAILY_20260211.zip","1.1",".zip","2/15/2026 7:20:14 PM"
"C:\alpaca-bot\ORG_BOT_UNIFIED\code\_quarantine\staging_quarantine_20260216_124236\logs_ops_knowledge_current\zips\dailies\ORG_BOT_DAILY_20260211.zip","1.1",".zip","2/15/2026 7:20:14 PM"
